iter	Passed	Remaining
0	93	28051
1	183	27293
2	276	27416
3	368	27284
4	453	26775
5	537	26334
6	618	25885
7	710	25920
8	807	26107
9	900	26112
10	988	25972
11	1070	25700
12	1153	25457
13	1231	25157
14	1308	24858
15	1397	24800
16	1482	24683
17	1558	24415
18	1647	24362
19	1724	24137
20	1822	24217
21	1918	24248
22	2005	24151
23	2095	24100
24	2180	23987
25	2263	23853
26	2368	23944
27	2465	23951
28	2552	23852
29	2633	23700
30	2719	23596
31	2811	23545
32	2891	23395
33	2985	23356
34	3066	23221
35	3150	23100
36	3230	22961
37	3329	22956
38	3413	22844
39	3503	22769
40	3585	22652
41	3665	22513
42	3749	22408
43	3834	22311
44	3912	22170
45	3991	22039
46	4078	21953
47	4167	21878
48	4243	21739
49	4340	21700
50	4427	21616
51	4505	21489
52	4583	21359
53	4664	21251
54	4748	21153
55	4836	21074
56	4919	20973
57	5004	20879
58	5083	20765
59	5177	20709
60	5260	20609
61	5347	20526
62	5431	20433
63	5519	20352
64	5603	20259
65	5682	20148
66	5763	20042
67	5854	19974
68	5944	19902
69	6029	19812
70	6112	19716
71	6210	19665
72	6294	19572
73	6382	19493
74	6464	19393
75	6547	19296
76	6629	19199
77	6717	19118
78	6810	19050
79	6898	18971
80	6979	18871
81	7062	18775
82	7141	18670
83	7230	18592
84	7316	18505
85	7400	18416
86	7485	18327
87	7571	18241
88	7652	18142
89	7729	18036
90	7828	17979
91	7918	17902
92	8004	17816
93	8091	17732
94	8179	17649
95	8276	17588
96	8361	17499
97	8460	17439
98	8554	17367
99	8644	17289
100	8727	17195
101	8837	17154
102	8913	17048
103	8990	16944
104	9082	16867
105	9169	16781
106	9247	16679
107	9326	16580
108	9405	16481
109	9492	16395
110	9588	16326
111	9680	16250
112	9761	16154
113	9852	16075
114	9935	15983
115	10023	15899
116	10107	15808
117	10191	15718
118	10273	15626
119	10358	15537
120	10447	15455
121	10530	15363
122	10627	15293
123	10718	15213
124	10824	15153
125	10910	15067
126	10998	14982
127	11086	14897
128	11175	14813
129	11257	14721
130	11344	14635
131	11429	14546
132	11514	14458
133	11596	14365
134	11677	14272
135	11760	14181
136	11848	14097
137	11935	14011
138	12013	13914
139	12095	13823
140	12178	13733
141	12267	13649
142	12341	13550
143	12419	13454
144	12509	13371
145	12590	13280
146	12670	13187
147	12754	13098
148	12848	13020
149	12932	12932
150	13011	12839
151	13089	12745
152	13177	12660
153	13263	12574
154	13340	12480
155	13426	12393
156	13504	12300
157	13585	12209
158	13668	12120
159	13745	12027
160	13834	11943
161	13918	11856
162	14004	11770
163	14085	11680
164	14163	11588
165	14245	11499
166	14328	11411
167	14420	11330
168	14502	11241
169	14581	11150
170	14662	11060
171	14739	10969
172	14832	10888
173	14918	10803
174	15008	10720
175	15093	10633
176	15185	10552
177	15267	10464
178	15343	10372
179	15427	10284
180	15516	10201
181	15610	10121
182	15688	10030
183	15775	9945
184	15856	9856
185	15933	9765
186	16016	9678
187	16103	9593
188	16185	9505
189	16264	9416
190	16343	9327
191	16422	9237
192	16508	9152
193	16585	9062
194	16662	8972
195	16741	8883
196	16829	8799
197	16912	8712
198	16994	8625
199	17079	8539
200	17159	8451
201	17237	8362
202	17320	8276
203	17410	8193
204	17491	8105
205	17582	8022
206	17662	7935
207	17740	7846
208	17831	7763
209	17912	7676
210	17994	7589
211	18085	7507
212	18164	7419
213	18249	7333
214	18330	7246
215	18418	7162
216	18506	7078
217	18589	6992
218	18672	6906
219	18752	6818
220	18849	6737
221	18923	6648
222	19007	6563
223	19100	6480
224	19191	6397
225	19276	6311
226	19355	6224
227	19437	6138
228	19523	6053
229	19604	5966
230	19694	5882
231	19777	5796
232	19860	5711
233	19941	5624
234	20022	5538
235	20110	5453
236	20188	5366
237	20266	5279
238	20346	5192
239	20426	5106
240	20502	5019
241	20581	4932
242	20661	4846
243	20738	4759
244	20829	4675
245	20915	4591
246	20998	4505
247	21081	4420
248	21164	4334
249	21242	4248
250	21329	4163
251	21410	4078
252	21493	3992
253	21575	3907
254	21670	3824
255	21751	3738
256	21858	3657
257	21938	3571
258	22024	3486
259	22112	3401
260	22198	3317
261	22284	3232
262	22366	3146
263	22452	3061
264	22548	2978
265	22628	2892
266	22716	2807
267	22791	2721
268	22882	2637
269	22961	2551
270	23046	2466
271	23125	2380
272	23208	2295
273	23295	2210
274	23379	2125
275	23458	2039
276	23546	1955
277	23634	1870
278	23715	1785
279	23799	1699
280	23900	1616
281	23984	1530
282	24063	1445
283	24139	1359
284	24224	1274
285	24310	1190
286	24395	1105
287	24477	1019
288	24568	935
289	24648	849
290	24728	764
291	24831	680
292	24920	595
293	25001	510
294	25080	425
295	25159	339
296	25241	254
297	25323	169
298	25403	84
299	25488	0
