iter	Passed	Remaining
0	86	25986
1	169	25308
2	250	24760
3	330	24436
4	417	24605
5	496	24334
6	574	24047
7	654	23875
8	732	23679
9	813	23590
10	891	23426
11	969	23262
12	1046	23114
13	1127	23038
14	1208	22967
15	1292	22947
16	1371	22836
17	1469	23020
18	1545	22856
19	1622	22713
20	1696	22544
21	1772	22398
22	1850	22286
23	1925	22141
24	2002	22030
25	2079	21919
26	2154	21783
27	2232	21688
28	2310	21595
29	2395	21562
30	2472	21452
31	2551	21369
32	2628	21267
33	2705	21163
34	2778	21033
35	2853	20922
36	2931	20838
37	3009	20751
38	3091	20686
39	3170	20605
40	3248	20523
41	3329	20451
42	3420	20442
43	3497	20347
44	3575	20261
45	3654	20181
46	3734	20100
47	3813	20019
48	3888	19920
49	3968	19841
50	4043	19742
51	4119	19648
52	4197	19560
53	4276	19481
54	4356	19404
55	4437	19336
56	4519	19265
57	4596	19177
58	4673	19090
59	4752	19011
60	4834	18943
61	4911	18853
62	4989	18768
63	5066	18682
64	5146	18607
65	5226	18529
66	5301	18436
67	5394	18405
68	5475	18329
69	5553	18247
70	5627	18152
71	5704	18064
72	5781	17977
73	5860	17898
74	5934	17803
75	6011	17717
76	6086	17626
77	6159	17529
78	6234	17441
79	6311	17357
80	6409	17328
81	6485	17241
82	6562	17158
83	6637	17069
84	6715	16985
85	6792	16901
86	6866	16812
87	6944	16729
88	7022	16649
89	7100	16568
90	7178	16487
91	7254	16401
92	7330	16315
93	7417	16255
94	7493	16171
95	7570	16087
96	7648	16005
97	7725	15923
98	7803	15843
99	7881	15763
100	7959	15681
101	8035	15597
102	8112	15516
103	8191	15437
104	8268	15355
105	8348	15278
106	8429	15204
107	8509	15127
108	8584	15043
109	8666	14969
110	8748	14895
111	8828	14819
112	8905	14738
113	8984	14658
114	9061	14577
115	9141	14499
116	9217	14416
117	9291	14330
118	9387	14278
119	9466	14200
120	9542	14115
121	9622	14039
122	9700	13958
123	9776	13875
124	9852	13793
125	9932	13715
126	10009	13634
127	10087	13554
128	10166	13476
129	10242	13393
130	10318	13311
131	10405	13243
132	10483	13163
133	10562	13084
134	10640	13004
135	10717	12923
136	10793	12842
137	10868	12758
138	10945	12677
139	11022	12596
140	11100	12517
141	11175	12434
142	11254	12356
143	11331	12275
144	11423	12211
145	11501	12131
146	11577	12049
147	11655	11971
148	11734	11891
149	11811	11811
150	11890	11732
151	11967	11652
152	12044	11572
153	12122	11492
154	12196	11409
155	12271	11327
156	12349	11248
157	12445	11185
158	12525	11107
159	12601	11026
160	12675	10943
161	12752	10863
162	12828	10782
163	12904	10701
164	12980	10620
165	13056	10539
166	13133	10459
167	13207	10377
168	13286	10298
169	13379	10231
170	13456	10151
171	13533	10071
172	13610	9991
173	13690	9913
174	13767	9834
175	13845	9754
176	13926	9677
177	14005	9599
178	14082	9519
179	14158	9439
180	14237	9360
181	14314	9280
182	14406	9210
183	14483	9131
184	14561	9051
185	14638	8972
186	14714	8891
187	14789	8810
188	14865	8730
189	14942	8650
190	15019	8571
191	15097	8492
192	15174	8412
193	15249	8332
194	15325	8252
195	15416	8180
196	15497	8102
197	15577	8024
198	15654	7945
199	15733	7866
200	15812	7788
201	15890	7709
202	15967	7630
203	16044	7550
204	16120	7470
205	16198	7391
206	16276	7312
207	16353	7233
208	16443	7159
209	16517	7078
210	16594	6999
211	16670	6919
212	16748	6841
213	16827	6762
214	16904	6683
215	16979	6603
216	17058	6524
217	17138	6446
218	17214	6367
219	17293	6288
220	17391	6216
221	17469	6137
222	17548	6059
223	17629	5981
224	17705	5901
225	17784	5823
226	17861	5744
227	17939	5665
228	18018	5586
229	18097	5508
230	18173	5428
231	18251	5349
232	18327	5270
233	18416	5194
234	18496	5115
235	18574	5037
236	18649	4957
237	18728	4878
238	18805	4799
239	18885	4721
240	18961	4642
241	19039	4563
242	19117	4484
243	19195	4405
244	19273	4326
245	19358	4249
246	19445	4172
247	19523	4093
248	19602	4014
249	19681	3936
250	19760	3857
251	19835	3778
252	19912	3699
253	19990	3620
254	20065	3540
255	20142	3462
256	20226	3384
257	20303	3305
258	20408	3230
259	20487	3151
260	20563	3072
261	20640	2993
262	20719	2914
263	20797	2835
264	20877	2757
265	20956	2678
266	21037	2600
267	21115	2521
268	21195	2442
269	21275	2363
270	21369	2286
271	21451	2208
272	21529	2129
273	21607	2050
274	21682	1971
275	21758	1892
276	21836	1813
277	21910	1733
278	21986	1654
279	22063	1575
280	22142	1497
281	22219	1418
282	22295	1339
283	22387	1261
284	22466	1182
285	22543	1103
286	22623	1024
287	22700	945
288	22777	866
289	22856	788
290	22939	709
291	23017	630
292	23101	551
293	23181	473
294	23259	394
295	23336	315
296	23428	236
297	23508	157
298	23587	78
299	23664	0
